period,asset_id,technology,installed_capacity_mw,generation_mwh
2024-01,wind_base,wind,100,21100
2024-02,wind_base,wind,100,20900
2024-03,wind_base,wind,100,22400
2024-04,wind_base,wind,100,21700
2024-05,wind_base,wind,100,20300
2024-06,wind_base,wind,100,19600
2024-07,wind_base,wind,100,18800
2024-08,wind_base,wind,100,19000
2024-09,wind_base,wind,100,20100
2024-10,wind_base,wind,100,21400
2024-11,wind_base,wind,100,22600
2024-12,wind_base,wind,100,23200
2025-01,wind_base,wind,100,21900
2025-02,wind_base,wind,100,21500
2025-03,wind_base,wind,100,23100
2025-04,wind_base,wind,100,22500
2025-05,wind_base,wind,100,21100
2025-06,wind_base,wind,100,20200
2025-07,wind_base,wind,100,19500
2025-08,wind_base,wind,100,19700
2025-09,wind_base,wind,100,20800
2025-10,wind_base,wind,100,22200
2025-11,wind_base,wind,100,23500
2025-12,wind_base,wind,100,24100
